id_corsa,id_bici,id_utente,città_x,data_corsa,durata_minuti,km_percorsi,fascia_oraria,mese,giorno_settimana,tipo_corsa,velocita_media,costo_stimato,tipo,città_y,anno_acquisto,costo_acquisto,nome,città,tipo_abbonamento,data_iscrizione
C0001,B007,U003,Torino,2026-04-10,28.0,4.89,sera,4,Friday,media,10.48,3.8,classica,Torino,2020,2000,Marco,Torino,Premium,2025-03-20
C0002,B020,U003,Torino,2026-04-10,36.0,6.68,notte,4,Friday,media,11.13,4.6,classica,Roma,2019,800,Marco,Torino,Premium,2025-03-20
C0003,B015,U001,Roma,2026-03-15,51.0,11.52,mattina,3,Sunday,lunga,13.55,5.48,elettrica,Milano,2023,2000,Luca,Roma,Family,2024-06-01
C0004,B011,U005,Milano,2026-03-01,44.0,4.09,mattina,3,Sunday,media,5.58,5.4,classica,Roma,2024,2000,Anna,Torino,Base,2024-06-01
C0005,B008,U010,Milano,2026-04-10,70.0,11.31,sera,4,Friday,lunga,9.69,7.0,classica,Torino,2018,1500,Roberto,Torino,Family,2024-06-01
C0006,B007,U007,Roma,2026-03-01,31.0,4.79,notte,3,Sunday,media,9.27,4.1,classica,Torino,2020,2000,Elena,Torino,Base,2024-01-15
C0007,B019,U009,Milano,2026-03-15,6.0,1.08,mattina,3,Sunday,breve,10.8,1.5,classica,Milano,2018,1200,Chiara,Roma,Premium,2024-01-15
C0008,B011,U007,Roma,2026-03-15,21.0,4.95,notte,3,Sunday,media,14.14,3.1,classica,Roma,2024,2000,Elena,Torino,Base,2024-01-15
C0009,B011,U009,Roma,2026-04-10,37.0,8.15,sera,4,Friday,media,13.22,4.7,classica,Roma,2024,2000,Chiara,Roma,Premium,2024-01-15
C0010,B004,U008,Torino,2026-03-15,13.0,2.57,mattina,3,Sunday,breve,11.86,1.5,classica,Roma,2023,800,Matteo,Torino,Base,2024-01-15
C0011,B008,U012,Roma,2026-03-01,47.0,7.51,notte,3,Sunday,lunga,9.59,5.16,classica,Torino,2018,1500,Davide,Milano,Base,2024-06-01
C0012,B003,U002,Torino,2026-04-10,52.0,10.36,mattina,4,Friday,lunga,11.95,5.56,classica,Milano,2018,2000,Sara,Roma,Premium,2025-03-20
C0013,B002,U001,Milano,2026-03-01,43.0,7.74,sera,3,Sunday,media,10.8,5.3,elettrica,Torino,2019,800,Luca,Roma,Family,2024-06-01
C0014,B012,U016,Milano,2026-03-01,46.0,7.7,notte,3,Sunday,lunga,10.04,5.08,elettrica,Roma,2018,1200,Andrea,Torino,Premium,2025-03-20
C0015,B006,U023,Milano,2026-03-15,30.0,5.8,mattina,3,Sunday,media,11.6,4.0,classica,Roma,2022,800,Sofia,Torino,Base,2025-03-20
C0016,B002,U023,Milano,2026-03-15,54.0,10.25,sera,3,Sunday,lunga,11.39,5.72,elettrica,Torino,2019,800,Sofia,Torino,Base,2025-03-20
C0017,B001,U024,Torino,2026-03-15,29.0,6.14,mattina,3,Sunday,media,12.7,3.9,classica,Torino,2023,2000,Michele,Milano,Premium,2025-03-20
C0018,B012,U005,Milano,2026-03-15,28.0,5.98,mattina,3,Sunday,media,12.81,3.8,elettrica,Roma,2018,1200,Anna,Torino,Base,2024-06-01
