id_bici,tipo,città,anno_acquisto,costo_acquisto
B001,classica,Torino,2023,2000
B002,elettrica,Torino,2019,800
B003,classica,Milano,2018,2000
B004,classica,Roma,2023,800
B005,classica,Milano,2019,1500
B006,classica,Roma,2022,800
B007,classica,Torino,2020,2000
B008,classica,Torino,2018,1500
B009,elettrica,Milano,2019,1500
B010,classica,Milano,2018,1500
B011,classica,Roma,2024,2000
B012,elettrica,Roma,2018,1200
B013,elettrica,Milano,2023,1200
B014,elettrica,Roma,2024,1200
B015,elettrica,Milano,2023,2000
B016,elettrica,Roma,2020,1500
B017,elettrica,Milano,2024,1200
B018,elettrica,Milano,2022,2000
B019,classica,Milano,2018,1200
B020,classica,Roma,2019,800
